,window_size,mse
0,1,0.03120281942538077
1,2,0.0401639417186841
2,3,0.023244478906856693
3,4,0.03567874058521203
4,5,0.07121098512323458
5,6,0.0396854821493544
6,7,8090636.895787378
7,8,0.03781676478008569
8,9,0.04085642522831165
9,10,0.03929003279575467
10,11,0.05202026676105717
11,12,0.03764247837207821
12,13,0.030947247389027776
13,14,0.030699936435432028
14,15,38076372.02400691
15,16,0.05427208570931066
16,17,0.04761992798060988
17,18,0.021826426876809905
18,19,0.03967355905305293
19,20,0.03460940097422639
20,21,0.018301824097174794
21,22,58779484.63597358
22,23,0.09015301714042198
23,24,0.03860962581884244
24,25,0.0853724949514951
25,26,0.05717376392901809
26,27,0.03237118577355309
27,28,0.03241206449877141
28,29,0.022942410572545494
29,30,0.043993072964618636
30,31,0.03707458036984978
31,32,0.03576571876430271
32,33,0.038459428950077076
33,34,0.03261204973741606
34,35,0.032269369167551354
35,36,0.03279405200248183
36,37,0.03535133918749349
